FID;Country;County;Latitude;Longitude;Region;SiteID;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;Marine resources %;Aquatic resources %;CombineGroup;Material;Context;Source;Main.bibliography;Bibliography;Observations
146;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-964;4470;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
147;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-942;4480;25;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
148;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;UtC-3200;4780;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Floor of the corrdidor;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Bello 1995;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Bello 1995";n/a
149;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-891;4910;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface ancient soil;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
150;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-890;4930;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface ancient soil;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Alonso/Bello 1997;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Alonso/Bello 1997";n/a
151;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;UtC-3203;4950;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Floor of the chamber;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
152;Spain;Galicia;43,19017;-8,96934;North;S36;Dombate old;Polygon/al chamber;CAMS- 101904;4890;30;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;Fragment of pottery;Steelman, Carrera et al 2005;n/a;n/a;n/a
153;Spain;Galicia;43,19017;-8,96934;North;S36;Dombate old;Polygon/al chamber;CAMS- 101903;4895;30;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;Fragment of pottery;Steelman, Carrera et al 2005;n/a;n/a;n/a
190;Spain;North;42,67333333;-3,717222222;North;S44;Fuentepecina;Passage grave;GrN-18667;5170;100;n/a;n/a;n/a;n/a;n/a;Charcoal;Basement chamber;Boaventura 2009, annex 33;Delibes de Castro/Rojo Guerra 1997 ;"Boaventura 2009, annex 33; Delibes de Castro/Rojo Guerra 1997 ";Fuentepecina I
191;Spain;North;42,67111111;-3,7175;North;S44;Fuentepecina;Passage grave;GrN-16073;5270;140;n/a;n/a;n/a;n/a;n/a;Charcoal;Ancient soil level 6;Cassen et al. 1993, Tab. 2, 513.;n/a;Cassen et al 1993, Tab. 2, 513;Fuentepecina II according Idearq.org
192;Spain;North;42,67111111;-3,7175;North;S44;Fuentepecina;Passage grave;GrN-18669;5375;45;n/a;n/a;n/a;n/a;n/a;Charcoal;Chamber level 6;Boaventura 2009, annex 33;Delibes de Castro/Rojo Guerra 1997 ;"Boaventura 2009, annex 33; Delibes de Castro/Rojo Guerra 1997 ";Fuentepecina II according Idearq.org
193;Spain;Asturias;43,180315;-6,916583;North;S45;La Xorenga;Tumulus;CSIC-1382;5059;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Sector C;Cabal et al 2000, 131;Sanchez Hidalgo 1999;Cabal et al 2000, 131;Site also named as Canadeiro I
194;Spain;Asturias;43,180315;-6,916583;North;S45;La Xorenga;Tumulus;CSIC-1381;5080;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Sector C;Cabal et al 2000, 131;Sanchez Hidalgo 1999;Cabal et al 2000, 131;Site also named as Canadeiro I
199;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;GrA-20497;3620;60;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;n/a;n/a;n/a
200;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;Ua-10376;3920;75;n/a;n/a;n/a;n/a;n/a;Human bone;Skull n. 1;n/a;n/a;n/a;n/a
201;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;GrA-20283;3990;80;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;n/a;n/a;n/a
202;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;Ua-11139;4055;60;n/a;n/a;n/a;n/a;n/a;Human bone;Skull n. 13;n/a;n/a;n/a;n/a
203;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;GrA-20304;4590;50;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;n/a;n/a;n/a
204;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;GrA-22140;4790;170;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;n/a;n/a;n/a;n/a
205;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;I-14919;5070;140;n/a;n/a;n/a;n/a;n/a;Charcoal;Base of the dolmen;Cabal et al 2000, 131;de Blas 1999;"Cabal et al 2000, 131; de Blas 1999";n/a
206;Spain;Basque Country;43,0867175;-2,2154198;North;S47;Larrarte;Dolmen;I-14781;5810;290;n/a;n/a;n/a;n/a;n/a;Charcoal;Base of the dolmen;Cabal et al 2000, 131;de Blas 1999;"Cabal et al 2000, 131; de Blas 1999";n/a
225;Spain;Basque Country;42,5937044;-2,532275;North;S51;Los Llanos 1;Passage grave;I-15195;4080;160;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber, upper level;MuÅller 1998, 82;Cassen et al 1996, 514;"MuÅller 1998, 82; Cassen et al 1996, 514";n/a
226;Spain;Basque Country;42,5937044;-2,532275;North;S51;Los Llanos 1;Passage grave;I-14593;4090;120;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber, upper level;MuÅller 1998, 82;Cassen et al 1996, 514;"MuÅller 1998, 82; Cassen et al 1996, 514";n/a
227;Spain;Basque Country;42,5937044;-2,532275;North;S51;Los Llanos 1;Passage grave;I-14788;4660;200;n/a;n/a;n/a;n/a;n/a;Human bone;Ground level corridor;MuÅller 1998, 82;Cassen et al 1996, 514;"MuÅller 1998, 82; Cassen et al 1996, 514";n/a
228;Spain;Basque Country;42,5937044;-2,532275;North;S51;Los Llanos 1;Passage grave;I-15168;5190;140;n/a;n/a;n/a;n/a;n/a;Human bone;Ground level corriidor;MuÅller 1998, 82;Cassen et al 1996, 514;"MuÅller 1998, 82; Cassen et al 1996, 514";n/a
244;Spain;Galicia;42,71342;-7,91185;North;S55;Mamoa do Monte dos Marxos;Passage grave;CAMS-77925;4920;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005, 385;n/a;Steelman et al 2005, 385;n/a
245;Spain;Galicia;42,71342;-7,91185;North;S55;Mamoa do Monte dos Marxos;Passage grave;CAMS-77924;5330;80;n/a;n/a;n/a;n/a;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005, 385;n/a;Steelman et al 2005, 385;n/a
255;Spain;Asturias;43,533596;-5,764043;North;S59;Monte Areo V;Dolmen;UtC-9320;5239;43;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a
256;Spain;Asturias;43,533596;-5,764043;North;S59;Monte Areo V;Dolmen;GrN-22027;5330;50;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";n/a
257;Spain;Asturias;43,533596;-5,764043;North;S59;Monte Areo V;Dolmen;GrN-22026;5470;90;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";n/a
258;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;CSIC-1380;5133;30;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
259;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;CSIC-1378;5176;30;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
260;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;CSIC-1379;5261;31;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
261;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;UtC-7220;5284;42;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
262;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;UtC-7217;5368;44;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
263;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;UtC-7219;5368;42;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
264;Spain;Asturias;43,526959;-5,77977;North;S60;Monte Areo XII;Tumulus;UtC-7218;5404;41;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";Geographic coordinates approximated
265;Spain;Asturias;43,525103;-5,789087;North;S61;Monte Areo XV;Tumulus;GrN-22025;4850;40;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";n/a
266;Spain;Asturias;43,525103;-5,789087;North;S61;Monte Areo XV;Tumulus;GrN-19724;5040;70;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Arias Cabal et al 2000, 131;de Blas 1999;"Arias Cabal et al 2000, 131; de Blas 1999";n/a
270;Spain;Galicia;42,65211613;-8,12954953;North;S63;Monte da Romea;Megalithic grave;Ua-20003;4265;50;n/a;n/a;n/a;n/a;n/a;Charcoal;Debris tumulus, entrance area;MaÒana Borrazas 2003;n/a;MaÒana Borrazas 2003;n/a
271;Spain;Galicia;42,65211613;-8,12954953;North;S63;Monte da Romea;Megalithic grave;Ua-20004;4520;50;n/a;n/a;n/a;n/a;n/a;Charcoal;By last stone deposit, blocking the entrance;MaÒana Borrazas 2003;n/a;MaÒana Borrazas 2003;n/a
272;Spain;Galicia;42,65211613;-8,12954953;North;S63;Monte da Romea;Megalithic grave;Ua-20005;5055;55;n/a;n/a;n/a;n/a;n/a;Charcoal;Debris tumulus;MaÒana Borrazas 2003;n/a;MaÒana Borrazas 2003;n/a
353;Spain;Northern Meseta;42,32527778;-2,453611111;North;S82;PeÒa Guerra 2;Megalithic grave;CSIC-617B;3410;60;n/a;n/a;n/a;n/a;n/a;Human bone;Central chamber, level II;IDEArq.org;n/a;n/a;n/a
354;Spain;Northern Meseta;42,32527778;-2,453611111;North;S82;PeÒa Guerra 2;Megalithic grave;CSIC-626A;4630;90;n/a;n/a;n/a;n/a;n/a;Human bone;Central chamber, level I;IDEArq.org;n/a;n/a;n/a
355;Spain;Northern Meseta;42,32527778;-2,453611111;North;S82;PeÒa Guerra 2;Megalithic grave;CSIC-626B;4640;60;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber, level I;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
356;Spain;Northern Meseta;42,32527778;-2,453611111;North;S82;PeÒa Guerra 2;Megalithic grave;CSIC-969;4750;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
365;Spain;Galicia;42,94205;-7,9714;North;S99;Ponte da Pedra;Megalithic grave/tumulus;GrN-19215;2565;45;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface of the mound;Fabregas/Vilaseco, 2006;n/a;Fabregas/Vilaseco, 2006;n/a
366;Spain;Galicia;42,94205;-7,9714;North;S99;Ponte da Pedra;Megalithic grave/tumulus;GrN-19216;2970;90;n/a;n/a;n/a;n/a;n/a;Charcoal;Ancient soil;Boaventura 2009, Tab. 31;n/a;Boaventura 2009, Tab. 31;n/a
367;Spain;Galicia;42,94205;-7,9714;North;S99;Ponte da Pedra;Megalithic grave/tumulus;GrN-19217;5020;70;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Boaventura 2009, Tab. 31;n/a;Boaventura 2009, Tab. 31;n/a
368;Portugal;Northern Portugal;42,073233;-8,106304;North;S84;Portela do Pau 2;Dolmen;CSIC-1119;5087;31;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Boaventura 2009, annex 3;n/a;Boaventura 2009, annex 3;n/a
369;Portugal;Northern Portugal;42,073233;-8,106304;North;S84;Portela do Pau 2;Dolmen;CSIC-1120;5131;28;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Boaventura 2009, annex 3;n/a;Boaventura 2009, annex 3;n/a
370;Portugal;Northern Portugal;42,073233;-8,106304;North;S84;Portela do Pau 2;Dolmen;CSIC-1121;5435;44;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Boaventura 2009, annex 3;n/a;Boaventura 2009, annex 3;n/a
374;Spain;Northern Meseta;42,67527778;-3,720555556;North;S86;Rebolledo;Megalithic grave;GrN-19567;5075;40;n/a;n/a;n/a;n/a;n/a;Charcoal;Layer 3;Boaventura 2009, annex 33;Delibes de Castro/Rojo Guerra 1997 ;"Boaventura 2009, annex 33; Delibes de Castro/Rojo Guerra 1997 ";Geographic coordinates approximated
375;Spain;Northern Meseta;42,67527778;-3,720555556;North;S86;Rebolledo;Megalithic grave;GrN-19569;5305;30;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;Burial, level 1/2;Boaventura 2009, annex 33;Delibes de Castro/Rojo Guerra 1997 ;"Boaventura 2009, annex 33; Delibes de Castro/Rojo Guerra 1997 ";Geographic coordinates approximated
1;Spain;Andalusia;36,8158333;-5,633611111;South;S1;Alberite;Gallery grave;Beta-80598;5020;70;-25;n/a;n/a;n/a;n/a;Charcoal;n/a;Garcia Sanjun et al. 2011, Tab. 2;Ramos MuÒoz/Giles Pacheco 1996;Garcia Sanjun et al. 2011, Tab. 2;n/a
2;Spain;Andalusia;36,8158333;-5,633611111;South;S1;Alberite;Gallery grave;Beta-80600;5110;140;-25;n/a;n/a;n/a;n/a;Charcoal;n/a;Garcia Sanjun et al. 2011, Tab. 2;Ramos MuÒoz/Giles Pacheco 1996;Garcia Sanjun et al. 2011, Tab. 2;n/a
3;Spain;Andalusia;36,8158333;-5,633611111;South;S1;Alberite;Gallery grave;Beta-80602;5320;70;-25;n/a;n/a;n/a;n/a;Charcoal;n/a;Garcia Sanjun et al. 2011, Tab. 2;Ramos MuÒoz/Giles Pacheco 1996;Garcia Sanjun et al. 2011, Tab. 2;n/a
55;Spain;Andalusia;36,44555556;-6,21;South;S16;Campo de Hockey;Pit burial;CNA-832;3065;35;n/a;n/a;n/a;n/a;n/a;Coal;Circular structure (pit) Trench C2-UE206;Vijande Vila et al, 2015;n/a;n/a;n/a
56;Spain;Andalusia;36,44555556;-6,21;South;S16;Campo de Hockey;Transition/al structure to the megaliths;CNA-360;5020;50;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;Tomb 10;Garcia Sanjuan et al. 2011, 126, 129;n/a;Garcia Sanjuan et al. 2011, 126, 129;n/a
57;Spain;Andalusia;36,44555556;-6,21;South;S16;Campo de Hockey;Transition/al structure to the megaliths;CNA-835;5485;30;n/a;n/a;n/a;n/a;n/a;Shell (Monodonta lineata);Circular structure (pit) Corte 2-UE205;Vijande Vila et al, 2015;n/a;n/a;n/a
58;Spain;Andalusia;36,44555556;-6,21;South;S16;Campo de Hockey;Pit burial;CNA-664;5650;40;n/a;n/a;n/a;n/a;n/a;Human bone;Tomb 11;Garcia Sanjuan et al. 2011, 126, 129;Vijande Vila 2009, 273-274;Garcia Sanjuan et al. 2011, 126, 129;n/a
59;Spain;Andalusia;36,44555556;-6,21;South;S16;Campo de Hockey;Cist;CNA-833;5665;60;n/a;n/a;n/a;n/a;n/a;Organic material, seeds and wood;;Vijande Vila et al 2015;n/a;n/a;n/a
70;Spain;Andalusia;37,59333333;-6,515;South;S100;Casullo;Megalithic tomb;CNA-345;2890;50;n/a;n/a;n/a;n/a;n/a;Charcoal;Burial chamber;Linares/Garcia Sanjuan 2010;n/a;n/a;n/a
71;Spain;Andalusia;37,59333333;-6,515;South;S100;Casullo;Megalithic tomb;CNA-346;4410;50;n/a;n/a;n/a;n/a;n/a;Charcoal;Funerary deposit;Linares/Garcia Sanjuan 2010;n/a;n/a;n/a
74;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-110875;5300;120;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
75;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-90884;5660;80;n/a;n/a;n/a;n/a;n/a;Human bone;Burials;Garcia Sanjuan  et al. 2011, Tab. 2;n/a;Garcia Sanjuan  et al. 2011, Tab. 2;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
75;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-101435;5860;70;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;"Montero et al 1999; Ruiz-Taboada, Montero 1999";"Montero et al 1999; Ruiz-Taboada, Montero 1999";Lozano Medina 2017;n/a
76;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;OxA-6713;5765;55;-17,7;n/a;n/a;n/a;n/a;Human bone;Burials;Garcia Sanjuan  et al. 2011, Tab. 2;n/a;Garcia Sanjuan  et al. 2011, Tab. 2;n/a
77;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-118936;5830;30;-20,8;n/a;n/a;n/a;n/a;Organic material, seeds and wood;n/a;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
78;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;OxA-6580;5850;80;-19,6;n/a;n/a;n/a;n/a;Human bone;Burials;Garcia Sanjuan et al. 2011, Tab. 2;n/a;Garcia Sanjuan et al. 2011, Tab. 2;n/a
79;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-101425;5860;70;n/a;n/a;n/a;n/a;n/a;Human bone;Burials;Garcia Sanjuan et al. 2011, Tab. 2;n/a;Garcia Sanjuan et al. 2011, Tab. 2;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
80;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;OxA-6715;5895;55;-23,1;n/a;n/a;n/a;n/a;Human bone;Burials;"Garcia Sanjuan et al. 2011, Tab. 2; Bronk Ramsey et al 2002";n/a;"Garcia Sanjuan et al 2011, Tab. 2; Ruiz Taboada/Montero Ruiz 1999";Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
81;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-90885;5920;70;n/a;n/a;n/a;n/a;n/a;Human bone;Burials;Garcia Sanjuan  et al. 2011, Tab. 2;n/a;Ruiz Taboada/Montero Ruiz 1999;Charcoal according http://www.idearqueologia.org/c14/?ln=es#fila-tabla 
82;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;OxA-6714;6030;55;-18,8;n/a;n/a;n/a;n/a;Human bone;B3 Phase 2;Bronk Ramsey et al 2002;Ruiz Taboada/Montero Ruiz 1999;n/a;n/a
83;Spain;Andalusia;37,26777778;-1,795833333;South;S21;Cerro Virtud;Collective grave in ditch, domestic context;Beta-101424;6160;180;n/a;n/a;n/a;n/a;n/a;Charcoal;B3 Phase 1;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;Ruiz Taboada/Montero Ruiz 1999;n/a;n/a
121;Spain;Andalusia;36,98444444;-4,415;South;S29;Cortijo  de El Tardon;Cist;UGRA-260;3530;60;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Garcia Sanjuan 2006, 153;Fernandez Ruiz et al, 1997;"Garcia Sanjuan 2006, 153; Fernandez Ruiz et al, 1997";Geographic coordinates approximated
122;Spain;Andalusia;36,98444444;-4,415;South;S29;Cortijo  de El Tardon;Cist;GrN-16066;3745;25;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Garcia Sanjuan  et al. 2011, Tab. 4;n/a;Garcia Sanjuan et al 2011, Tab. 4;Geographic coordinates approximated
129;Spain;Andalusia;37,02388889;-4,548055556;South;S33;Dolmen de Menga;Passage grave;Ua-36216;4760;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Basement tumulus;Aranda Jimenez et al 2013, Tab.2;n/a;Aranda Jimenez et al 2013, Tab.2;n/a
130;Spain;Andalusia;37,02388889;-4,548055556;South;S33;Dolmen de Menga;Passage grave;Ua-24583;4865;40;n/a;n/a;n/a;n/a;n/a;Charcoal;Depression atrium;Garcia Sanjuan 2009, 19;n/a;Garcia Sanjuan 2009, 19;n/a
131;Spain;Andalusia;37,02388889;-4,548055556;South;S33;Dolmen de Menga;Passage grave;Ua-24582;4935;40;n/a;n/a;n/a;n/a;n/a;Charcoal;Depression atrium;Garcia Sanjuan 2009, 19;n/a;Garcia Sanjuan 2009, 19;n/a
132;Spain;Andalusia;37,02333333;-4,548888889;South;S34;Dolmen de Viera;Passage grave;Beta-353822;3580;30;-21;n/a;n/a;n/a;n/a;Animal bone;Chamber;Aranda Jimenez et al 2013, Tab.2;n/a;Aranda Jimenez et al 2013, Tab.2;n/a
133;Spain;Andalusia;37,02333333;-4,548888889;South;S34;Dolmen de Viera;Passage grave;Beta-353820;4090;30;-21,2;n/a;n/a;n/a;n/a;Animal bone;Chamber;Aranda Jimenez et al 2013, Tab.2;n/a;Aranda Jimenez et al 2013, Tab.2;n/a
134;Spain;Andalusia;37,02333333;-4,548888889;South;S34;Dolmen de Viera;Passage grave;GrN-16067;4550;140;n/a;n/a;n/a;n/a;n/a;Charcoal;Ancient soil;Aranda Jimenez et al 2013, Tab.2;n/a;Aranda Jimenez et al 2013, Tab.2;n/a
154;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2412;3120;35;-17,89;n/a;n/a;n/a;n/a;Human bone;Chamber. Human right uln/a from an adult male (21-40 years old). Layer II;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
155;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;Beta-301932;3470;40;-18,4;n/a;n/a;n/a;n/a;Human bone;Chamber. Human femur from an adult male (41-60 years old). Layer II;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
156;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;Beta-301934;3530;30;-18,3;n/a;n/a;n/a;n/a;Human bone;Chamber. Human right femur from an adult male (21-30 years old). Layer III;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
157;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2409;3625;40;-23,11;n/a;n/a;n/a;n/a;Human bone;Chamber. Human skull fragment from an unesexed adult (30-35 years old). Layer III;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
158;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;Beta-301933;3670;40;-18,7;n/a;n/a;n/a;n/a;Human bone;Chamber. Human skull fragment from an unesexed adult (41-60 years old). Layer III;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
159;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2406;3730;35;-18,82;n/a;n/a;n/a;n/a;Human bone;Chamber. Human left humerus from an adult male (21-40 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
160;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2410;3785;35;-25,3;n/a;n/a;n/a;n/a;Human bone;Chamber. Human tibia from an adult male (21-40 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
161;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2411;3830;35;-19,02;n/a;n/a;n/a;n/a;Human bone;Chamber. Human skull fragment from an adult male (+30 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
162;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2404;3856;35;-20,1;n/a;n/a;n/a;n/a;Human bone;Chamber. Human right radius from an adult female (21-40 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
163;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2407;3860;35;-19,72;n/a;n/a;n/a;n/a;Human bone;Chamber. Human left radius from an adult male (21-40 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
164;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2408;3860;35;-19,72;n/a;n/a;n/a;n/a;Human bone;Chamber. Human skull fragment from an infantile (7-12 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
165;Spain;Andalusia;36,84111111;-2,206388889;South;S37;El Barranquete 11;Tumulus/tholos;CNA-2405;3925;35;-20,19;n/a;n/a;n/a;n/a;Human bone;Chamber. Human right humerus from an adult female (21-40 years old). Layer IV;Aranda Jimenez, Lozano Medina 2014, 382;n/a;n/a;n/a
